Dia,Máquina,Qtd_Total_Finalizada,No_Prazo,Atrasado,Extra,Total Programado,% Atendimento Programação
2026-02-28,BATIDA,1,0,0,1,0,0.0
2026-02-28,BROTECH CDF330,1,0,1,0,1,0.0
2026-02-28,DOBRADEIRA,2,1,1,0,2,50.0
2026-02-28,REBOBINADEIRA ECO,1,1,0,0,1,100.0
2026-02-28,REVISORA VRR STD 350,3,3,0,0,3,100.0
2026-02-28,REVISÃO MANUAL,3,0,3,0,3,0.0
2026-03-01,BATIDA,1,0,1,0,1,0.0
2026-03-01,CORTE E VINCO,1,0,0,1,0,0.0
2026-03-01,DOBRADEIRA,2,0,1,1,1,0.0
2026-03-01,EMBALAGEM FINAL,3,0,0,3,0,0.0
2026-03-01,GUILHOTINA,1,0,0,1,0,0.0
2026-03-01,REBOBINADEIRA ECO,1,0,0,1,0,0.0
2026-03-01,REVISÃO MANUAL,1,0,0,1,0,0.0
2026-03-02,BATIDA,11,11,0,0,11,100.0
2026-03-02,BROTECH CDF330,6,5,0,1,5,100.0
2026-03-02,DOBRADEIRA,3,0,3,0,3,0.0
2026-03-02,DURST,12,11,1,0,12,91.67
2026-03-02,EMBALAGEM FINAL,20,0,0,20,0,0.0
2026-03-02,ETIRAMA FIT,1,0,1,0,1,0.0
2026-03-02,ETIRAMA ONE,4,0,4,0,4,0.0
2026-03-02,ETIRAMA WINE,1,0,1,0,1,0.0
2026-03-02,FECHAMENTO DE KIT,1,0,0,1,0,0.0
2026-03-02,GUILHOTINA,3,0,1,2,1,0.0
2026-03-02,MESA DE REVISÃO 1,1,0,1,0,1,0.0
2026-03-02,OFFSET - SPEEDMASTER,3,3,0,0,3,100.0
2026-03-02,PLOTTER VD330,4,4,0,0,4,100.0
2026-03-02,REBOBINADEIRA ECO,8,4,0,4,4,100.0
2026-03-02,REVISORA VRR STD 350,8,5,3,0,8,62.5
2026-03-02,REVISÃO GERAL,1,0,0,1,0,0.0
2026-03-02,REVISÃO MANUAL,3,0,3,0,3,0.0
2026-03-02,TERCEIROS,1,0,1,0,1,0.0
2026-03-02,TROQUELADORA,3,1,0,2,1,100.0
2026-03-03,BATIDA,3,3,0,0,3,100.0
2026-03-03,BROTECH CDF330,15,11,3,1,14,78.57
2026-03-03,DOBRADEIRA,1,1,0,0,1,100.0
2026-03-03,DURST,21,17,4,0,21,80.95
2026-03-03,EMBALAGEM FINAL,28,1,1,26,2,50.0
2026-03-03,ETIRAMA ONE,4,2,2,0,4,50.0
2026-03-03,ETIRAMA WINE,2,2,0,0,2,100.0
2026-03-03,GUILHOTINA,5,0,2,3,2,0.0
2026-03-03,MESA DE REVISÃO 1,2,0,0,2,0,0.0
2026-03-03,OFFSET - SPEEDMASTER,2,2,0,0,2,100.0
2026-03-03,PLOTTER VD330,2,1,1,0,2,50.0
2026-03-03,REBOBINADEIRA ECO,16,2,12,2,14,14.29
2026-03-03,REVISORA VRR STD 350,11,7,4,0,11,63.64
2026-03-03,REVISÃO GERAL,1,0,1,0,1,0.0
2026-03-03,REVISÃO MANUAL,1,0,1,0,1,0.0
2026-03-03,TROQUELADORA,10,4,2,4,6,66.67
2026-03-04,BATIDA,5,4,1,0,5,80.0
2026-03-04,BROTECH CDF330,10,9,0,1,9,100.0
2026-03-04,DURST,29,29,0,0,29,100.0
2026-03-04,EMBALAGEM FINAL,26,13,7,6,20,65.0
2026-03-04,ETIRAMA ONE,2,2,0,0,2,100.0
2026-03-04,ETIRAMA WINE,2,2,0,0,2,100.0
2026-03-04,GUILHOTINA,6,0,2,4,2,0.0
2026-03-04,OFFSET - SPEEDMASTER,5,4,1,0,5,80.0
2026-03-04,PLOTTER VD330,3,3,0,0,3,100.0
2026-03-04,REBOBINADEIRA ECO,8,6,1,1,7,85.71
2026-03-04,REVISORA VRR STD 350,5,5,0,0,5,100.0
2026-03-04,TROQUELADORA,1,1,0,0,1,100.0
2026-03-05,BATIDA,4,3,1,0,4,75.0
2026-03-05,BROTECH CDF330,4,1,0,3,1,100.0
2026-03-05,DURST,3,2,0,1,2,100.0
2026-03-05,EMBALAGEM FINAL,13,5,6,2,11,45.45
2026-03-05,ETIRAMA ONE,5,3,1,1,4,75.0
2026-03-05,ETIRAMA WINE,1,0,0,1,0,0.0
2026-03-05,GUILHOTINA,7,2,2,3,4,50.0
